2025-05-21 16:50:39 - Count: 3, Avg Density: 53.00, Min Density: 26, Max Density: 86
2025-05-21 16:50:39 - Count: 2, Avg Density: 22.50, Min Density: 19, Max Density: 26
2025-05-21 16:50:41 - Count: 2, Avg Density: 71.50, Min Density: 64, Max Density: 79
2025-05-21 16:50:41 - Count: 3, Avg Density: 48.00, Min Density: 10, Max Density: 88
2025-05-21 16:50:42 - Count: 3, Avg Density: 62.00, Min Density: 53, Max Density: 79
2025-05-21 16:50:42 - Count: 2, Avg Density: 61.00, Min Density: 36, Max Density: 86
2025-05-21 16:50:44 - Count: 4, Avg Density: 38.00, Min Density: 10, Max Density: 62
2025-05-21 16:50:44 - Count: 1, Avg Density: 67.00, Min Density: 67, Max Density: 67
2025-05-21 16:50:45 - Count: 2, Avg Density: 39.50, Min Density: 26, Max Density: 53
2025-05-21 16:50:45 - Count: 3, Avg Density: 54.00, Min Density: 36, Max Density: 76
2025-05-21 16:50:47 - Count: 4, Avg Density: 56.50, Min Density: 13, Max Density: 95
2025-05-21 16:50:47 - Count: 1, Avg Density: 84.00, Min Density: 84, Max Density: 84
2025-05-21 16:50:48 - Count: 4, Avg Density: 41.75, Min Density: 32, Max Density: 59
2025-05-21 16:50:48 - Count: 1, Avg Density: 39.00, Min Density: 39, Max Density: 39
2025-05-21 16:50:50 - Count: 5, Avg Density: 66.40, Min Density: 41, Max Density: 91
2025-05-21 16:50:52 - Count: 2, Avg Density: 59.00, Min Density: 41, Max Density: 77
2025-05-21 16:50:52 - Count: 3, Avg Density: 60.67, Min Density: 43, Max Density: 88
2025-05-21 16:50:53 - Count: 4, Avg Density: 53.25, Min Density: 44, Max Density: 65
2025-05-21 16:50:53 - Count: 1, Avg Density: 10.00, Min Density: 10, Max Density: 10
2025-05-21 16:50:55 - Count: 2, Avg Density: 55.00, Min Density: 39, Max Density: 71
2025-05-21 16:50:55 - Count: 3, Avg Density: 50.00, Min Density: 30, Max Density: 89
2025-05-21 16:50:56 - Count: 3, Avg Density: 49.00, Min Density: 30, Max Density: 85
2025-05-21 16:50:56 - Count: 2, Avg Density: 50.00, Min Density: 16, Max Density: 84
2025-05-21 16:50:58 - Count: 3, Avg Density: 67.67, Min Density: 57, Max Density: 83
2025-05-21 16:50:58 - Count: 2, Avg Density: 29.50, Min Density: 11, Max Density: 48
2025-05-21 16:50:59 - Count: 3, Avg Density: 45.00, Min Density: 26, Max Density: 81
2025-05-21 16:50:59 - Count: 2, Avg Density: 80.50, Min Density: 63, Max Density: 98
2025-05-21 16:51:01 - Count: 3, Avg Density: 65.67, Min Density: 15, Max Density: 95
2025-05-21 16:51:01 - Count: 2, Avg Density: 56.00, Min Density: 43, Max Density: 69
2025-05-21 16:51:03 - Count: 2, Avg Density: 37.50, Min Density: 20, Max Density: 55
2025-05-21 16:51:03 - Count: 2, Avg Density: 56.50, Min Density: 45, Max Density: 68
2025-05-21 16:51:03 - Count: 1, Avg Density: 24.00, Min Density: 24, Max Density: 24
2025-05-21 16:51:04 - Count: 4, Avg Density: 53.75, Min Density: 13, Max Density: 77
2025-05-21 16:51:04 - Count: 1, Avg Density: 65.00, Min Density: 65, Max Density: 65
2025-05-21 16:51:06 - Count: 5, Avg Density: 62.20, Min Density: 33, Max Density: 79
2025-05-21 16:51:07 - Count: 2, Avg Density: 87.50, Min Density: 86, Max Density: 89
2025-05-21 16:51:07 - Count: 3, Avg Density: 79.33, Min Density: 54, Max Density: 97
2025-05-21 17:22:32 - Count: 3, Avg Density: 25.67, Min Density: 14, Max Density: 44
2025-05-21 17:22:32 - Count: 2, Avg Density: 32.50, Min Density: 21, Max Density: 44
2025-05-21 17:22:34 - Count: 1, Avg Density: 100.00, Min Density: 100, Max Density: 100
2025-05-21 17:22:34 - Count: 4, Avg Density: 41.50, Min Density: 32, Max Density: 59
2025-05-21 17:22:35 - Count: 4, Avg Density: 48.50, Min Density: 23, Max Density: 83
2025-05-21 17:22:35 - Count: 1, Avg Density: 41.00, Min Density: 41, Max Density: 41
2025-05-21 17:22:37 - Count: 2, Avg Density: 31.00, Min Density: 27, Max Density: 35
2025-05-21 17:22:37 - Count: 3, Avg Density: 62.33, Min Density: 46, Max Density: 91
2025-05-21 17:22:38 - Count: 2, Avg Density: 77.50, Min Density: 74, Max Density: 81
2025-05-21 17:22:38 - Count: 3, Avg Density: 64.33, Min Density: 33, Max Density: 100
2025-05-21 17:22:40 - Count: 5, Avg Density: 41.20, Min Density: 24, Max Density: 68
2025-05-21 17:22:42 - Count: 4, Avg Density: 48.75, Min Density: 30, Max Density: 64
2025-05-21 17:22:42 - Count: 1, Avg Density: 53.00, Min Density: 53, Max Density: 53
2025-05-21 17:22:43 - Count: 4, Avg Density: 65.75, Min Density: 16, Max Density: 93
2025-05-21 17:22:43 - Count: 1, Avg Density: 65.00, Min Density: 65, Max Density: 65
2025-05-21 17:22:45 - Count: 2, Avg Density: 78.00, Min Density: 70, Max Density: 86
2025-05-21 17:22:45 - Count: 3, Avg Density: 51.33, Min Density: 37, Max Density: 80
2025-05-21 17:22:46 - Count: 1, Avg Density: 87.00, Min Density: 87, Max Density: 87
2025-05-21 17:22:46 - Count: 4, Avg Density: 38.00, Min Density: 11, Max Density: 77
2025-05-21 17:22:48 - Count: 3, Avg Density: 40.00, Min Density: 22, Max Density: 75
2025-05-21 17:22:48 - Count: 2, Avg Density: 24.50, Min Density: 16, Max Density: 33
2025-05-21 17:22:49 - Count: 3, Avg Density: 81.00, Min Density: 80, Max Density: 82
2025-05-21 17:22:49 - Count: 2, Avg Density: 83.00, Min Density: 70, Max Density: 96
2025-05-21 17:22:51 - Count: 2, Avg Density: 52.50, Min Density: 19, Max Density: 86
